target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
unemployment,2024-03-01,2024-08-01,5,same_horizon_past_rmse,15,0.21077401184924557,0.20987596644956957,0.3478809603753459,0.23146906132583894
unemployment,2024-03-01,2024-09-01,6,same_horizon_past_rmse,15,0.20499017871705813,0.2043844258726516,0.3338751030053393,0.2567502924049511
unemployment,2024-03-01,2024-10-01,7,same_horizon_past_rmse,15,0.20161982544715942,0.20108019114409645,0.3231348197086977,0.27416516370004645
unemployment,2024-03-01,2024-11-01,8,same_horizon_past_rmse,15,0.1969866767723285,0.1964408518141575,0.3188199272933694,0.2877525441201446
unemployment,2024-03-01,2024-12-01,9,same_horizon_past_rmse,15,0.1995394152721574,0.19905001645249257,0.3007973442229535,0.30061322405239654
unemployment,2024-03-01,2025-01-01,10,same_horizon_past_rmse,15,0.20022620328624055,0.1998189203357117,0.2910708874412007,0.3088839889368472
unemployment,2024-03-01,2025-02-01,11,same_horizon_past_rmse,15,0.19478447075683197,0.19442296556576905,0.28294810515531577,0.3278444585220833
unemployment,2024-03-01,2025-03-01,12,same_horizon_past_rmse,15,0.19458373188892802,0.19420496980745705,0.2724822770800446,0.33872902122357035
unemployment,2024-04-01,2024-05-01,1,same_horizon_past_rmse,16,0.2914948773085425,0.29357086639564484,0.29649977710801745,0.1184344791877953
unemployment,2024-04-01,2024-06-01,2,same_horizon_past_rmse,16,0.2614343531120426,0.26111123340870684,0.3105335455396115,0.16692086793963906
unemployment,2024-04-01,2024-07-01,3,same_horizon_past_rmse,16,0.23945167099727724,0.23815120350567842,0.33032619171070055,0.1920709337863438
unemployment,2024-04-01,2024-08-01,4,same_horizon_past_rmse,16,0.22237713637033452,0.2209443274525591,0.34597680470600733,0.210701731471099
unemployment,2024-04-01,2024-09-01,5,same_horizon_past_rmse,16,0.21057985514079205,0.20944651432784298,0.3423923886957208,0.23758124183564422
unemployment,2024-04-01,2024-10-01,6,same_horizon_past_rmse,16,0.20462766389949058,0.20388988276347997,0.3321575841539331,0.25932486918309644
unemployment,2024-04-01,2024-11-01,7,same_horizon_past_rmse,16,0.20122390505330884,0.20055263533550327,0.3203385741015585,0.2778848855096295
unemployment,2024-04-01,2024-12-01,8,same_horizon_past_rmse,16,0.19855476468773808,0.19784579514536685,0.31016092836649706,0.293438511800398
unemployment,2024-04-01,2025-01-01,9,same_horizon_past_rmse,16,0.19954220816857687,0.19895212839606938,0.297840160159773,0.3036655032755807
unemployment,2024-04-01,2025-02-01,10,same_horizon_past_rmse,16,0.20014946831649894,0.19966165978554914,0.2893478528039331,0.3108410190940188
unemployment,2024-04-01,2025-03-01,11,same_horizon_past_rmse,16,0.19482685335899994,0.19440182405421996,0.28190544698893305,0.3288658755978471
unemployment,2024-04-01,2025-04-01,12,same_horizon_past_rmse,16,0.19522564820812924,0.19477676631815272,0.27187635135407257,0.3381212341196455
unemployment,2024-05-01,2024-06-01,1,same_horizon_past_rmse,17,0.29211202436849804,0.29371197950690714,0.29409882609771776,0.12007717002687708
unemployment,2024-05-01,2024-07-01,2,same_horizon_past_rmse,17,0.25943657457187147,0.25869003931195367,0.309800774694622,0.17207261142155272
